dimension,value,count
charge,-5,7
charge,-4,75
charge,-3,264
charge,-2,883
charge,-1,8022
charge,0,96257
charge,1,65552
charge,2,2426
charge,3,469
charge,4,288
charge,5,207
multiplicity,1,81052
multiplicity,2,13221
multiplicity,3,11355
multiplicity,4,2279
multiplicity,5,3311
multiplicity,6,1000
multiplicity,7,1100
multiplicity,8,217
multiplicity,9,267
multiplicity,10,119
pattern,partial_charge_only,78147
pattern,P3_two_ints_strict,73333
pattern,partial_mult_only,17618
pattern,P1_explicit,14583
pattern,P4_spin_only,4502
pattern,P3_two_ints_loose,1746
pattern,P4_spin+P1,937
pattern,P2_words,733
pattern,P1+P2,449
pattern,P4_spin+P2,20
